name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"9 KRIZU",9KRIZU,CZ,4916.317N,01616.550E,0.0m,1,,,,"MOTOREST"
"9 SKAL",9SKAL,CZ,4940.233N,01601.850E,836.0m,7,,,,"VRCHOL"
"ADAMOV",ADAMOV,CZ,4918.067N,01639.267E,0.0m,1,,,,"KOSTEL"
"ALBRECHTICE",ALBRE,CZ,5010.133N,01734.667E,0.0m,1,,,,"NADRAZI"
"AS",AS,CZ,5013.133N,01210.983E,600.0m,1,,,,"NADRAZI"
"BASKA",BASKA,CZ,4938.567N,01821.133E,336.0m,2,1,300.0m,"125,825","SLZ PLOCHA"
"BECOV",BECOV,CZ,5005.233N,01250.383E,609.0m,1,,,,"ZAMEK"
"BECHYNE",BECHYN,CZ,4916.417N,01430.167E,0.0m,3,0,0.0m,,"STREDPLOCHY"
"BENATKY NAD JIZEROU",BENATK,CZ,5017.333N,01449.533E,0.0m,1,,,,"MOST"
"BEZDEKOV",BEZDEKOV,CZ,4917.633N,01610.983E,0.0m,1,,,,"KOSTEL"
"BEZDEZ",BEZDEZ,CZ,5032.317N,01443.217E,0.0m,1,,,,"ZRICENINA"
"BEZVEROV",BEZVER,CZ,4959.667N,01303.383E,0.0m,1,,,,"KOSTEL"
"BILA VODA",BVODA,CZ,5026.567N,01654.750E,0.0m,1,,,,"KOSTEL"
"BILINA",BILINA,CZ,5032.950N,01346.350E,0.0m,1,,,,"MOST"
"BILOVEC",BILOVE,CZ,4945.200N,01800.833E,0.0m,1,,,,"NADRAZI"
"BITOV",BITOV,CZ,4856.633N,01541.983E,428.0m,1,,,,"ZAMEK"
"BLANIK",BLANIK,CZ,4938.617N,01452.333E,0.0m,1,,,,"ROZHLEDNA"
"BLANSKO",BLANSK,CZ,4921.633N,01638.450E,0.0m,1,,,,"MOST"
"BLATNA",BLATNA,CZ,4925.600N,01352.633E,500.0m,1,,,,"KOSTEL"
"BLOVICE",BLOVIC,CZ,4934.883N,01331.883E,478.0m,1,,,,"NADRAZI"
"BOHDALOV",BOHDAL,CZ,4928.850N,01552.400E,0.0m,1,,,,"KOSTEL"
"BOHDANEC",BOHDAN,CZ,4946.633N,01513.433E,450.0m,1,,,,"KOSTEL"
"BOJKOVICE",BOJKOV,CZ,4902.233N,01748.283E,0.0m,1,,,,"CENTRUM"
"BOLERADICE",BOLERA,CZ,4857.750N,01650.233E,198.0m,2,7,480.0m,"125,825","SLZ PLOCHA"
"BOREK",BOREK,CZ,5012.583N,01439.567E,170.0m,2,17,550.0m,"118,750","SLZ PLOCHA"
"BORITOV",BORITO,CZ,4925.883N,01635.517E,380.0m,2,2,850.0m,"125,825","SLZ PLOCHA"
"BOROVA",BOROVA,CZ,4944.600N,01609.750E,650.0m,1,,,,"NADRAZI"
"BOSKOVICE",BOSKOV,CZ,4929.500N,01639.067E,365.0m,1,,,,"NADRAZI"
"BOUBIN",BOUBIN,CZ,4859.450N,01349.033E,1362.0m,1,,,,"VRCHOL"
"BOUZOV",BOUZOV,CZ,4942.333N,01653.417E,440.0m,1,,,,"HRAD"
"BRANDYS NAD LABEM",BRANDY,CZ,5011.200N,01439.683E,0.0m,1,,,,"CENTRUM"
"BRANDYS NAD ORLICI",BRANOR,CZ,5000.100N,01617.200E,0.0m,1,,,,"KOSTEL"
"BRANNA",BRANNA,CZ,5008.817N,01700.867E,633.0m,1,,,,"NADRAZI"
"BRATROUCHOV",BRATRO,CZ,5042.400N,01528.967E,0.0m,1,,,,"CHATA"
"BRECLAV",BRECLA,CZ,4845.333N,01653.767E,0.0m,1,,,,"NADRAZI"
"BREZI",BREZI,CZ,4920.667N,01613.033E,530.0m,1,,,,"KOSTEL"
"BREZNICE",BREZNI,CZ,4932.667N,01356.667E,470.0m,1,,,,"KOSTEL"
"BREZOVA N SVITAVOU",BREZSV,CZ,4938.783N,01630.967E,0.0m,1,,,,"KOSTEL"
"BRIDLICNA",BRIDLC,CZ,5002.100N,01711.083E,1358.0m,7,,,,"VRCHOL"
"BRUNTAL",BRUNTA,CZ,4959.617N,01728.467E,431.0m,1,,,,"NADRAZI"
"BUCOV",BUCOV,CZ,5008.617N,01329.400E,432.0m,1,,,,"KRIZOVATKA"
"BUDISOV N BUDISOVKOU",BUDISO,CZ,4947.683N,01737.667E,0.0m,1,,,,"KOSTEL"
"BUCHLOV",BUCHLO,CZ,4906.417N,01718.800E,192.0m,1,,,,"HRAD"
"BUCHTUV KOPEC",BUCHTU,CZ,4939.617N,01608.100E,810.0m,7,,,,"VRCHOL"
"BUKOVA HORA",BUKHOR,CZ,5040.300N,01413.550E,0.0m,1,,,,"VYSILAC"
"BURANOS AIRES",BURAIR,CZ,5000.517N,01402.117E,440.0m,2,9,450.0m,"125,825","SLZ PLOCHA"
"BYNOVEC",BYNOVE,CZ,5049.550N,01416.033E,380.0m,2,7,400.0m,"122,8","SLZ PLOCHA"
"BYSTRICE P PERNSTEJNEM",BYSPER,CZ,4931.350N,01515.683E,532.0m,1,,,,"KOSTEL"
"CASLAV",CASLAV,CZ,4956.400N,01523.017E,241.0m,5,60,0.0m,,"LETISTE"
"CEBIN",CEBIN,CZ,4918.750N,01628.650E,0.0m,1,,,,"KOSTEL"
"CECHTICE",CECHTI,CZ,4937.350N,01502.883E,0.0m,1,,,,"KOSTEL"
"CERNA HORA",CERHOR,CZ,5039.100N,01544.500E,1300.0m,8,,,,"VYSILAC"
"CERVENA",CERVEN,CZ,4922.317N,01415.950E,0.0m,1,,,,"CERVENANVLT"
"CERVENA LHOTA",CERVLH,CZ,4914.800N,01453.167E,0.0m,1,,,,"ZAMEK"
"CERVENA VODA",CERVOD,CZ,5002.433N,01644.650E,0.0m,1,,,,"KOSTEL"
"CERVENY KOSTELEC",CERKOS,CZ,5028.650N,01605.767E,0.0m,1,,,,"NAMESTI"
"CESKA SKALICE",CESKAL,CZ,5023.717N,01603.267E,0.0m,1,,,,"NADRAZI"
"CESKA TREBOVA",CETREB,CZ,4954.217N,01626.667E,0.0m,1,,,,"CENTRUM"
"CESKE BUDEJOVICE",LKCBUD,CZ,4856.800N,01425.750E,433.0m,5,60,0.0m,"122.600","LETISTE"
"CESKY BROD",CEBROD,CZ,5003.850N,01453.417E,0.0m,1,,,,"VYSILAC"
"CESKY DUB",CESDUB,CZ,5040.733N,01459.950E,380.0m,2,1,370.0m,"125,825","SLZ PLOCHA"
"CESKY KRUMLOV",CEKRUM,CZ,4849.000N,01419.067E,0.0m,1,,,,"CENTRUM"
"CESTIN",CESTIN,CZ,4948.450N,01506.133E,500.0m,1,,,,"KOSTEL"
"CIMELICE",CIMELI,CZ,4928.217N,01404.617E,0.0m,1,,,,"NADRAZI"
"CL RAMS",CLRAMS,CZ,5038.500N,01432.483E,300.0m,2,13,600.0m,"120,675","SLZ PLOCHA"
"CUKRAK",CUKRAK,CZ,4956.233N,01421.383E,0.0m,1,,,,"VYSILAC"
"DACICE",DACICE,CZ,4904.800N,01526.033E,577.0m,1,,,,"KOSTEL"
"DARKO",DARKO,CZ,4937.933N,01554.167E,590.0m,1,,,,"RYBNIK"
"DEBLIN",DEBLIN,CZ,4919.367N,01620.817E,0.0m,1,,,,"KOSTEL"
"DECIN",DECIN,CZ,5046.400N,01412.467E,0.0m,1,,,,"MOST"
"DECINSKY SNEZNIK",DESNEZ,CZ,5047.567N,01406.117E,722.0m,7,,,,"VRCHOL"
"DESTNE V ORL HORACH",DESTNE,CZ,5018.200N,01620.900E,0.0m,1,,,,"KOSTEL"
"DETRICHOV",DETRIC,CZ,4943.767N,01707.100E,225.0m,2,14,450.0m,"120,675","SLZ PLOCHA"
"DEVIN",DEVIN,CZ,4852.083N,01638.967E,549.0m,7,,,,"VRCHOL"
"DOBRIS",DOBRIS,CZ,4946.833N,01410.067E,0.0m,1,,,,"CENTRUM"
"DOBRUSKA",DOBRUS,CZ,5017.367N,01609.133E,0.0m,1,,,,"NADRAZI"
"DOLNI BUKOVSKO",DOLBUK,CZ,4910.250N,01434.850E,0.0m,1,,,,"KOSTEL"
"DOLNI CEREKEV",DOLCER,CZ,4920.733N,01527.400E,0.0m,1,,,,"KOSTEL"
"DOLNI DVORISTE",DOLDVO,CZ,4839.400N,01427.067E,617.0m,1,,,,"KOSTEL"
"DOLNI LOUCKY",DOLLOU,CZ,4921.700N,01621.033E,0.0m,1,,,,"KOSTEL"
"DOLNI ZANDOV",DOLZAN,CZ,5000.683N,01232.400E,0.0m,1,,,,"NADRAZI"
"DOMAZLICE",DOMAZL,CZ,4926.450N,01255.500E,423.0m,1,,,,"CENTRUM"
"DRUZCOV",DRUZCO,CZ,5043.700N,01455.467E,460.0m,2,17,440.0m,"125,825","SLZ PLOCHA"
"DUSNIKY",DUSNIK,CZ,5024.750N,01411.867E,222.0m,2,17,420.0m,"122,8","SLZ PLOCHA"
"EXIT BOR",EXIBOR,CZ,4944.833N,01246.683E,400.0m,1,,,,"EXIT D1 128"
"FIALNIK",FIALNI,CZ,4944.517N,01510.717E,550.0m,7,,,,"VRCHOL"
"FRYDEK MISTEL",FRYDEK,CZ,4940.783N,01820.817E,0.0m,1,,,,"MOST"
"FRYDLANT",FRYDLA,CZ,5055.117N,01504.400E,500.0m,1,,,,"NADRAZI"
"FRYMBURK",FRYMBU,CZ,4841.967N,01411.967E,798.0m,2,6,500.0m,"134,825","SLZ PLOCHA"
"FRYSAVA P ZAK HOROU",FRYSAV,CZ,4937.667N,01602.300E,0.0m,1,,,,"KOSTEL"
"GOLCUV JENIKOV",GOLJEN,CZ,4948.883N,01528.650E,389.0m,1,,,,"CENTRUM"
"HABRY",HABRY,CZ,4945.167N,01528.983E,500.0m,1,,,,"KRIZOVATKA"
"HANUSOVICE",HANUSO,CZ,5004.583N,01655.867E,0.0m,1,,,,"KOSTEL"
"HARRACHOV",HARRAC,CZ,5048.267N,01525.450E,850.0m,1,,,,"CELNICE"
"HERALEC",HERALE,CZ,4941.250N,01559.717E,0.0m,1,,,,"KOSTEL"
"HERMANUV MESTEC",HERMES,CZ,4957.083N,01539.517E,300.0m,1,,,,"NADRAZI"
"HLINSKO",HLINSK,CZ,4946.000N,01554.100E,495.0m,1,,,,"NADRAZI"
"HLUBOKA",HLUBOK,CZ,4903.267N,01426.450E,0.0m,1,,,,"ZAMEK"
"HODONIN",HODONI,CZ,4851.283N,01707.083E,0.0m,1,,,,"NADRAZI"
"HORAZDOVICE",HORAZD,CZ,4919.267N,01342.567E,0.0m,1,,,,"NADRAZI"
"HORNI BENESOV",HORBEN,CZ,4958.050N,01736.033E,0.0m,1,,,,"KOSTEL"
"HORNI BRIZA",HORBRI,CZ,4950.383N,01321.383E,451.0m,1,,,,"KOSTEL"
"HORNI CEREKEV",HORCER,CZ,4918.650N,01519.483E,586.0m,1,,,,"NADRAZI"
"HORSOVSKY TYN",HORTYN,CZ,4931.450N,01256.350E,400.0m,1,,,,"NADRAZI"
"HORY",HORY,CZ,5013.033N,01246.500E,501.0m,2,7,500.0m,"125,825","SLZ PLOCHA"
"HOSTINNE",HOSTIN,CZ,5032.517N,01543.483E,390.0m,17,,,,"STRED MESTA"
"HOSTOMICE",HOSTOM,CZ,4949.567N,01402.650E,0.0m,1,,,,"KOSTEL"
"HOSTYN",HOSTYN,CZ,4922.817N,01742.083E,735.0m,7,,,,"VRCHOL"
"HRADCANY",HRADCA,CZ,5037.167N,01443.983E,278.0m,5,9,2700.0m,"134,825","SLZ PLOCHA"
"HRADEC N MORAVICI",HRAMOR,CZ,4952.483N,01752.567E,300.0m,1,,,,"NARDAZI"
"HRACHOLUSKY",HRACHO,CZ,4947.467N,01310.467E,0.0m,1,,,,"HRAZ"
"HRIMEZDICE",HRIMEZ,CZ,4940.450N,01415.767E,462.0m,1,,,,"MOST"
"HUBENOV",HUBENO,CZ,4923.517N,01529.367E,0.0m,1,,,,"HRAZ"
"HUMPOLEC",HUMPOL,CZ,4932.517N,01521.417E,474.0m,1,,,,"CENTRUM"
"HUSINEC",HUSINE,CZ,4902.300N,01359.617E,0.0m,1,,,,"HRAZ"
"HUSTOPECE",HUSTOP,CZ,4856.133N,01644.317E,0.0m,1,,,,"NADRAZI"
"CHABERICE",CHABER,CZ,4944.883N,01503.700E,350.0m,2,11,500.0m,"125,825","SLZ PLOCHA"
"CHARVATCE",CHARVA,CZ,5025.983N,01348.633E,275.0m,2,8,500.0m,"125,825","SLZ PLOCHA"
"CHEB",CHEB,CZ,5011.550N,01222.250E,450.0m,1,,,,"KRIZOVATKASEVER"
"CHLUM",CHLUM,CZ,4918.867N,01545.933E,0.0m,1,,,,"KOSTEL"
"CHLUMEC N CIDLINOU",CHLUME,CZ,5009.800N,01527.433E,0.0m,1,,,,"NADRAZI"
"CHOMUTOV",CHOMU,CZ,5027.800N,01324.217E,343.0m,1,,,,"KRIZOVATKACENTR"
"CHORNICE",CHORNI,CZ,4940.000N,01644.467E,0.0m,1,,,,"KOSTEL"
"CHOTEC",CHOTEC,CZ,5026.083N,01531.733E,328.0m,2,9,600.0m,"125,825","SLZ PLOCHA"
"CHOTESOV",CHOTES,CZ,4939.133N,01311.417E,365.0m,2,9,550.0m,"125,825","SLZ PLOCHA"
"CHRAST",CHRAST,CZ,4953.333N,01556.500E,0.0m,1,,,,"RYBNIK"
"CHRASTAVA",CHRSTA,CZ,5048.800N,01457.083E,300.0m,1,,,,"NADRAZI"
"CHRIBSKA",CHRIBS,CZ,5051.400N,01428.033E,383.0m,2,10,600.0m,"122.4","SLZ PLOCHA"
"CHVALETICE",CHVALE,CZ,5001.667N,01527.333E,0.0m,1,,,,"KOMIN"
"JABLONEC N NISOU",JABLON,CZ,5043.267N,01509.650E,0.0m,1,,,,"NADRAZI"
"JABLONNE N ORLICI",JABORL,CZ,5001.667N,01635.967E,0.0m,1,,,,"KOSTEL"
"JABLONNE V PODJESTEDI",JABPOD,CZ,5046.200N,01445.517E,600.0m,1,,,,"NADRAZI"
"JABLUKOV",JABLUN,CZ,4934.600N,01845.900E,0.0m,1,,,,"KOSTEL"
"JAROMERICE N ROKYTKOU",JAROME,CZ,4905.600N,01553.400E,422.0m,1,,,,"KOSTEL"
"JAVORICE",JAVORI,CZ,4913.267N,01520.200E,836.0m,1,,,,"VYSILAC"
"JAVORNIK",JAVORN,CZ,5023.267N,01700.017E,0.0m,1,,,,"JAVORNIKZAMEK"
"JAVOROVY",JAVORO,CZ,4937.250N,01836.467E,1032.0m,7,,,,"VRCHOL"
"JEDOVNICE",JEDOVN,CZ,4920.400N,01645.267E,470.0m,1,,,,"HRAZ"
"JEHNEDI",JEHNED,CZ,4957.983N,01618.600E,478.0m,2,9,750.0m,"125,825","SLZ PLOCHA"
"JEMNICE",JEMNIC,CZ,4900.950N,01534.850E,498.0m,1,,,,"NADRAZI"
"JESENICE",JESENI,CZ,5005.067N,01228.483E,0.0m,1,,,,"HRAZ"
"JESENIK",JESNIK,CZ,5013.667N,01711.583E,0.0m,1,,,,"NADRAZI"
"JESTED",JESTED,CZ,5043.950N,01459.117E,1014.0m,1,,,,"VYSILAC"
"JEVICKO",JEVICK,CZ,4937.933N,01642.717E,360.0m,1,,,,"NAMESTI"
"JIMRAMOV",JIMRAM,CZ,4938.217N,01613.483E,550.0m,1,,,,"KOSTEL"
"JINDRICHOVICE P SMRKEM",JINSMR,CZ,5057.483N,01515.233E,800.0m,1,,,,"NADRAZI"
"JIRICKY",JIRICK,CZ,4933.183N,01509.333E,450.0m,2,16,750.0m,"125,825","SLZ PLOCHA"
"JIRKOV",JIRKOV,CZ,5029.917N,01326.867E,0.0m,1,,,,"KOSTEL"
"JISTEBNICE",JISTEB,CZ,4929.200N,01431.550E,578.0m,1,,,,"KOSTEL"
"KACOV",KACOV,CZ,4946.550N,01501.867E,0.0m,1,,,,"NADRAZI"
"KADAN",KADAN,CZ,5022.383N,01316.483E,485.0m,1,,,,"SILNICNIMOST"
"KAMEN",KAMEN,CZ,4925.400N,01500.883E,585.0m,1,,,,"HRAD"
"KAMEN PLOCHA",KAMPLO,CZ,4925.100N,01500.000E,0.0m,3,90,0.0m,,"LETISTE"
"KAMENICE N LIPOU",KAMLIP,CZ,4918.167N,01504.517E,563.0m,1,,,,"KOSTEL"
"KAMYK",KAMYK,CZ,4938.383N,01415.333E,0.0m,1,,,,"HRAZ"
"KAPLICE",KAPLIC,CZ,4844.300N,01429.283E,0.0m,1,,,,"CENTRUM"
"KARDASOVA RECICE",KARDRE,CZ,4911.033N,01451.650E,0.0m,1,,,,"NADRAZI"
"KARLSTEJN",KARLST,CZ,4956.400N,01411.283E,0.0m,1,,,,"HRAD"
"KASARNA",KASARN,CZ,4910.900N,01538.017E,533.0m,1,,,,"KRIZOVATKA"
"KASPERSKE HORY",KASHOR,CZ,4909.900N,01333.833E,1010.0m,1,,,,"ZAMEK"
"KDYNE",KDYNE,CZ,4923.317N,01302.383E,400.0m,1,,,,"KOSTEL"
"KELCSKY JAVORNIK",KELJAV,CZ,4924.000N,01745.933E,865.0m,7,,,,"VRCHOL"
"KEPRNIK",KEPRNI,CZ,5010.267N,01706.983E,1423.0m,7,,,,"VRCHOL"
"KLASTEREC N OHRI",KLASOH,CZ,5023.083N,01311.783E,300.0m,1,,,,"NADRAZI"
"KLECANY",KLECAN,CZ,5011.017N,01424.967E,0.0m,5,0,0.0m,,"PLOCHA"
"KLINOVEC",KLINOV,CZ,5023.750N,01258.050E,1244.0m,7,,,,"VRCHOL"
"KOBEROVICE",KOBERO,CZ,4935.200N,01515.717E,0.0m,1,,,,"KOSTEL"
"KOCLIROV",KOCLIR,CZ,4946.183N,01631.283E,600.0m,1,,,,"KRIZOVATKA"
"KOJAL",KOJAL,CZ,4922.217N,01648.950E,0.0m,1,,,,"VYSILAC"
"KOKORIN",KOKORI,CZ,5026.400N,01434.617E,0.0m,1,,,,"HRAD"
"KONICE",KONICE,CZ,4935.500N,01652.983E,328.0m,1,,,,"NADRAZI"
"KORYCANY",KORYCA,CZ,4906.983N,01711.650E,0.0m,1,,,,"HRAZ"
"KOSTELEC N HANE",KOSHAN,CZ,4930.950N,01703.667E,0.0m,1,,,,"KOSTEL"
"KOTVRDOVICE",KOTVRD,CZ,4921.867N,01647.233E,556.0m,2,10,600.0m,"123,475","SLZ PLOCHA"
"KOURIM",KOURIM,CZ,5000.183N,01458.617E,0.0m,1,,,,"OBEC"
"KOZAKOV",KOZAKO,CZ,5035.583N,01515.767E,774.0m,7,,,,"ROZHLEDNA"
"KRALICKY SNEZNIK",KRASNE,CZ,5012.300N,01651.350E,1424.0m,7,,,,"VRCHOL"
"KRALIKY",KRALIK,CZ,5004.850N,01645.400E,0.0m,1,,,,"NADRAZI"
"KRALOVICE",KRALOV,CZ,4959.333N,01329.350E,0.0m,1,,,,"NADRAZI"
"KRAMOLIN",KRAMOL,CZ,4854.917N,01443.667E,505.0m,2,9,455.0m,"122,4","SLZ PLOCHA"
"KRASNA LIPA",KRALIP,CZ,5055.100N,01430.750E,500.0m,1,,,,"NADRAZI"
"KREMESNIK",KREMES,CZ,4924.217N,01519.633E,765.0m,7,,,,"VRCHOL"
"KRINEC",KRINEC,CZ,5015.200N,01507.833E,197.0m,2,10,750.0m,"125,825","SLZ PLOCHA"
